intensity;cell_ID;seed_pointX;seed_pointY;object_type;pattern;minX;minY;maxX;maxY
positive;001;405;118;cell;cytoplasmatic;269;72;544;206
positive;002;290;276;cell;cytoplasmatic;196;214;385;355
positive;003;512;241;cell;cytoplasmatic;394;172;618;326
positive;004;268;387;cell;cytoplasmatic;172;322;343;447
positive;005;478;389;cell;cytoplasmatic;373;321;585;467
positive;006;414;500;cell;cytoplasmatic;326;416;545;599
positive;007;825;772;mitotic_cell;negative;772;716;879;819
positive;008;752;329;mitotic_cell;negative;703;283;807;376
positive;009;681;534;artefact;;662;508;724;572
positive;010;1053;514;artefact;;938;417;1159;623
positive;011;347;694;artefact;;306;652;388;745
positive;012;368;771;artefact;;335;736;426;803
positive;013;141;260;cell;cytoplasmatic;51;166;192;314
positive;014;87;432;cell;cytoplasmatic;31;377;144;477
positive;015;190;469;cell;cytoplasmatic;131;412;315;527
positive;016;111;707;cell;cytoplasmatic;32;661;176;774
positive;017;211;707;cell;cytoplasmatic;169;557;247;766
positive;018;281;707;cell;cytoplasmatic;247;604;330;770
positive;019;402;650;cell;cytoplasmatic;316;556;449;799
positive;020;482;707;cell;cytoplasmatic;378;533;537;760
positive;021;201;865;cell;cytoplasmatic;23;776;277;910
positive;022;367;860;cell;cytoplasmatic;310;795;455;956
positive;023;551;892;cell;cytoplasmatic;459;810;657;1000
positive;024;755;179;cell;cytoplasmatic;705;128;799;217
positive;025;832;179;cell;cytoplasmatic;729;119;955;214
positive;026;932;248;cell;cytoplasmatic;873;199;1059;293
positive;027;855;255;cell;cytoplasmatic;810;217;1044;348
positive;028;822;295;cell;cytoplasmatic;745;253;912;340
positive;029;676;358;cell;cytoplasmatic;596;272;803;437
positive;030;601;548;cell;cytoplasmatic;503;448;703;681
positive;031;732;558;cell;cytoplasmatic;595;428;817;675
positive;032;911;397;cell;cytoplasmatic;856;329;982;476
positive;033;832;495;cell;cytoplasmatic;781;355;893;554
positive;034;832;614;cell;cytoplasmatic;760;547;895;666
positive;035;953;564;cell;cytoplasmatic;887;507;1040;644
positive;036;684;694;cell;cytoplasmatic;539;598;771;778
positive;037;615;809;cell;cytoplasmatic;490;750;659;882
positive;038;1037;655;cell;cytoplasmatic;929;623;1250;704
positive;039;1009;744;cell;cytoplasmatic;966;675;1135;795
positive;040;951;732;cell;cytoplasmatic;896;650;1105;899
positive;041;890;774;cell;cytoplasmatic;826;693;952;814
positive;042;894;847;cell;cytoplasmatic;845;800;957;925
positive;043;964;871;cell;cytoplasmatic;932;826;1010;917
positive;044;941;986;cell;cytoplasmatic;865;949;1047;1035
